,order_id,customer_id,order_date,product_category,product_price,quantity,payment_method,delivery_status,city,state,zipcode,product_id,discount_applied,order_value,review_rating,return_requested
0,e3e70682-c209-4cac-a29f-6fbed82c07cd,b201cf6f-01f2-43a0-8a2b-0d8d22f059bc,2024-07-18,Home,276.66,2,Cash on Delivery,Pending,West Stevenmouth,Connecticut,86717,9f906e94-bd97-480e-87c2-fc2f8f08dcf5,0.12,486.92,4.0,False
1,f728b4fa-4248-4e3a-8a5d-2f346baa9455,4926e632-71bd-48ea-9e32-1e82f48697b7,2024-10-15,Sports,359.02,1,PayPal,Pending,West Nathanland,Connecticut,16366,beee451f-7a84-4b0f-a4dd-092fc7e5dd6a,0.23,276.45,1.0,False
2,eb1167b3-67a9-4378-bc65-c1e582e2e662,4fa2f35c-90c8-4387-816a-8771a94a440c,2024-12-13,Sports,303.37,1,Cash on Delivery,Pending,Lauraport,Texas,39030,fd4c0f3a-636f-4cd2-8e88-f6bd46a12cb1,0.13,263.93,2.0,False
3,f7c1bd87-4da5-4709-9471-3d60c8a70639,d2671669-e407-43b7-a0b8-37edb3a291dc,2024-08-12,Beauty,274.72,2,PayPal,Delivered,Angelafurt,North Carolina,48684,17a0cd5e-6481-4dbb-a841-10a17a5fc616,0.23,423.07,4.0,False
4,e443df78-9558-467f-9ba9-1faf7a024204,f578b202-a834-479f-adcd-198b543b723c,2024-11-18,Sports,214.71,4,PayPal,Pending,Hamiltonhaven,Nevada,5965,5a68aaed-f2c5-439d-a907-3b0d31bcaf08,0.24,652.72,3.0,False
5,23a7711a-8133-4876-b7eb-dcd9e87a1613,29db292a-4bf6-47b4-9430-715803cd6178,2025-04-06,Sports,324.72,2,Cash on Delivery,Pending,Sheltonmouth,Hawaii,2059,7eee23b3-7ba3-4993-8df8-804d34222463,0.12,571.51,4.0,False
6,1846d424-c17c-4279-a3c6-612f48268673,e37f6569-7189-4b94-b0b6-00c406b1b0ea,2025-05-28,Clothing,221.61,3,Cash on Delivery,Delivered,South Brittanyport,Alaska,92470,a6516a70-fe20-4ab6-88cd-cf796f5dfed4,0.13,578.4,3.0,True
7,fcbd04c3-4021-4ef7-8ca5-a5a19e4d6e3c,6ffa0875-e4a7-4828-9ecd-bd2cdb627a3d,2025-04-28,Electronics,446.43,1,PayPal,Pending,Lake Steven,Kentucky,42872,76acc8aa-6c35-4a5d-bcaa-64a457b6c3e3,0.16,375.0,5.0,False
8,b4862b21-fb97-4435-8856-1712e8e5216a,a428da2e-d890-4991-b366-dcbcabbfb882,2024-12-20,Sports,482.01,3,Credit Card,Delivered,North Williamtown,Massachusetts,1582,edacefbb-8200-4933-b775-a8deb6330f92,0.0,1446.03,5.0,True
9,259f4329-e6f4-490b-9a16-4106cf6a659e,0907ca13-1511-43f9-846e-1738790b1990,2025-04-21,Home,194.8,4,Cash on Delivery,Cancelled,New Denisemouth,Virginia,42158,b0b37c3b-7dca-4a63-aa15-b8998a830f11,0.06,732.45,,False
10,12e0c8b2-bad6-40fb-9948-8dec4f65d4d9,6fd4d110-b7de-4de9-ac26-cf5b77082bdc,2025-03-31,Books,396.9,2,Credit Card,Pending,Lake Daniel,West Virginia,86290,a9f7ffa8-1951-4064-bde3-1d849de38e9c,0.25,595.35,5.0,False
11,5487ce1e-af19-422a-99b8-a714e61a441c,977d2260-20bd-4e66-868d-c95e39a71648,2024-07-31,Beauty,266.8,3,Credit Card,Cancelled,New Nicholas,Vermont,58905,cc62b1de-5a65-4eeb-bb6f-6e163186738b,0.23,616.31,4.0,False
12,5a921187-19c7-4df4-8f4f-f31e78de5857,160bd6aa-7246-4d4b-ba67-a0cafc14e5c1,2024-07-31,Clothing,286.18,3,Credit Card,Cancelled,Grayfurt,Massachusetts,3187,0ad72fd8-ce3e-46b8-8c73-295dc2e835f8,0.02,841.37,1.0,False
13,a3f2c9bf-9c63-46b9-90f2-44556f25e2a2,5a7e5a6f-fe05-4d00-9e58-92d6a5f8be00,2025-06-11,Beauty,463.17,2,Net Banking,Cancelled,New Timothy,Colorado,28631,11aefb04-65b5-4bee-8136-8f5b1aad870a,0.19,750.34,,False
14,8d723104-f773-43c1-b458-a748e9bb17bc,d2d9e4be-6a04-4a79-b2c2-eb1eb2bd0625,2025-06-05,Home,40.16,3,PayPal,Returned,South Dana,Kansas,78384,e70f38c3-d90d-46de-915d-e7c6322397d1,0.01,119.28,3.0,False
15,85776e9a-dd84-439e-b154-5a137a1d5006,791dc0c4-7f13-4375-8f43-94338a4d266f,2025-03-06,Home,48.13,3,PayPal,Delivered,Port Kristinburgh,Alabama,42291,ab13565f-19ad-4c1e-95ac-de02bf03aa4e,0.16,121.29,1.0,False
16,eb2083e6-ce16-4dba-8ff1-8e0242af9fc3,ed39abe0-9153-4f8f-9036-18d0737ab5fd,2025-03-09,Clothing,15.01,1,Net Banking,Cancelled,Curryville,Kansas,62756,dc171a5c-38ab-4eee-a204-552504c90b48,0.05,14.26,,False
17,17e0aa3c-0398-4ca8-aa7e-9d498c778ea6,1b3d0270-1d60-4e66-9540-e2f14f22070d,2024-09-03,Sports,417.15,2,Credit Card,Pending,Christophermouth,Wyoming,15606,d746c690-2dd1-4fe9-9ed7-da6948ab1a64,0.26,617.38,4.0,False
18,b5d32b16-6619-4cb1-9710-37d1b83e90ec,3f0bf534-e75e-48e8-9370-d0ccf681e29d,2024-07-30,Sports,390.19,1,Net Banking,Pending,Jamieland,Maine,13816,ebc72ec0-0a46-4927-9f71-01c98a80081d,0.18,319.96,3.0,False
19,a0116be5-ab0c-4681-88f8-e3d0d3290a4c,117d0b17-70f4-48cd-acb0-08dcb00c1552,2024-06-20,Clothing,435.66,1,PayPal,Cancelled,Hunterhaven,New Hampshire,40261,36bef91a-6114-41d0-8a10-726790402853,0.02,426.95,1.0,False
